14:04:53 : 启动倒计时 7 秒
14:04:54 : 启动倒计时 6 秒
14:04:55 : 启动倒计时 5 秒
14:04:56 : 启动倒计时 4 秒
14:04:57 : 启动倒计时 3 秒
14:04:58 : 启动倒计时 2 秒
14:04:59 : 启动倒计时 1 秒
14:05:00 : 启动成功
14:05:02 : 测试,已执行 status:0
14:05:02 : taskid1 [Runtime:0.009002]
14:06:02 : 测试,已执行 status:0
14:06:02 : taskid1 [Runtime:0.008090]
14:07:02 : 测试,已执行 status:0
14:07:02 : taskid1 [Runtime:0.007408]
14:08:02 : 测试,已执行 status:0
14:08:02 : taskid1 [Runtime:0.008849]
14:09:02 : 测试,已执行 status:0
14:09:02 : taskid1 [Runtime:0.007711]
14:10:02 : 测试,已执行 status:0
14:10:02 : taskid1 [Runtime:0.007479]
14:11:02 : 测试,已执行 status:0
14:11:02 : taskid1 [Runtime:0.007809]
14:12:02 : 测试,已执行 status:0
14:12:02 : taskid1 [Runtime:0.009542]
14:13:02 : 测试,已执行 status:0
14:13:02 : taskid1 [Runtime:0.007952]
14:14:02 : 测试,已执行 status:0
14:14:02 : taskid1 [Runtime:0.007413]
14:14:36 : 收到退出信号,退出主进程

